a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0.563865853,0.543003182,0.50910134,0.678610546,0.6212382,0.430866322,0.644708705,0.584728524,0.537787514,0.582120691,0.43608199,0.446513326,0.420434987,0.629061701,0.472591665,0.331768633,0.569081521,0.50910134,0.537787514,0.69425755,0.503885673,0.793355239,0.383925312,0.788139571,0.74119856,0.709904553,0.769884734,0.59515986,0.806394409,0.52214051
0.483023001,0.469983831,0.443905492,0.60819903,0.558650185,0.381317478,0.597767694,0.571689355,0.420434987,0.540395348,0.386533146,0.412611485,0.370886142,0.597767694,0.43608199,0.287435456,0.524748344,0.44912116,0.490846503,0.642100871,0.456944662,0.775100402,0.300474626,0.7672769,0.712512387,0.68121838,0.722943723,0.556042351,0.769884734,0.485630835
0.386533146,0.37610181,0.391748813,0.53517968,0.524748344,0.357846972,0.550826683,0.545611015,0.352631304,0.514317008,0.350023471,0.360454806,0.331768633,0.566473687,0.396964481,0.248317947,0.480415167,0.402180149,0.446513326,0.59515986,0.396964481,0.738590727,0.258749283,0.751629896,0.689041882,0.68121838,0.696865384,0.506493506,0.717728055,0.438689824
0.287435456,0.342199969,0.360454806,0.46216033,0.511709174,0.334376467,0.516924842,0.527356178,0.318729463,0.475199499,0.300474626,0.321337297,0.305690294,0.527356178,0.350023471,0.21702394,0.430866322,0.355239138,0.404787983,0.529964012,0.357846972,0.68121838,0.206592604,0.728159391,0.662963542,0.652532207,0.673394878,0.456944662,0.676002712,0.402180149
0.261357117,0.282219788,0.329160799,0.407395817,0.467375997,0.331768633,0.480415167,0.519532676,0.292651124,0.44912116,0.237886611,0.284827622,0.282219788,0.483023001,0.316121629,0.164867261,0.386533146,0.310905962,0.402180149,0.472591665,0.313513795,0.647316539,0.183122099,0.712512387,0.629061701,0.584728524,0.634277369,0.396964481,0.600375528,0.350023471
0.21702394,0.219631774,0.329160799,0.344807803,0.46216033,0.331768633,0.446513326,0.519532676,0.263964951,0.410003651,0.172690763,0.211808272,0.237886611,0.443905492,0.279611954,0.115318417,0.360454806,0.279611954,0.402180149,0.430866322,0.23006311,0.613414698,0.149220258,0.699473218,0.582120691,0.52214051,0.582120691,0.329160799,0.553434517,0.316121629
0.21702394,0.183122099,0.334376467,0.258749283,0.44912116,0.329160799,0.407395817,0.519532676,0.261357117,0.368278308,0.11792625,0.188337767,0.209200438,0.415219319,0.23006311,0.128357586,0.305690294,0.219631774,0.402180149,0.38914098,0.20398477,0.574297189,0.123141918,0.696865384,0.543003182,0.480415167,0.543003182,0.237886611,0.519532676,0.292651124
0.211808272,0.157043759,0.339592135,0.209200438,0.433474156,0.347415637,0.38914098,0.519532676,0.250925781,0.360454806,0.170082929,0.14400459,0.183122099,0.456944662,0.20398477,0.190945601,0.256141449,0.170082929,0.347415637,0.334376467,0.183122099,0.524748344,0.123141918,0.623846033,0.496062171,0.43608199,0.493454337,0.188337767,0.469983831,0.269180619
0.211808272,0.14400459,0.352631304,0.177906431,0.425650655,0.368278308,0.368278308,0.52214051,0.250925781,0.344807803,0.222239608,0.104887081,0.120534084,0.477807333,0.159651593,0.21702394,0.30308246,0.141396756,0.30308246,0.292651124,0.180514265,0.488238669,0.123141918,0.597767694,0.472591665,0.373493976,0.46216033,0.175298597,0.410003651,0.23006311
0.219631774,0.141396756,0.368278308,0.138788922,0.425650655,0.412611485,0.365670474,0.550826683,0.250925781,0.318729463,0.318729463,0.081416575,0.154435926,0.516924842,0.112710583,0.263964951,0.357846972,0.188337767,0.266572785,0.245710113,0.198769102,0.459552496,0.123141918,0.550826683,0.425650655,0.329160799,0.43608199,0.159651593,0.383925312,0.198769102
0.23006311,0.138788922,0.394356647,0.13096542,0.425650655,0.469983831,0.36306264,0.574297189,0.256141449,0.316121629,0.381317478,0.13096542,0.240494445,0.558650185,0.159651593,0.355239138,0.407395817,0.263964951,0.245710113,0.20398477,0.222239608,0.428258488,0.123141918,0.503885673,0.399572315,0.274396286,0.402180149,0.133573254,0.326552965,0.170082929
0.256141449,0.146612424,0.415219319,0.125749752,0.425650655,0.52214051,0.365670474,0.597767694,0.269180619,0.313513795,0.464768164,0.198769102,0.342199969,0.589944192,0.21702394,0.425650655,0.44912116,0.300474626,0.222239608,0.162259427,0.245710113,0.383925312,0.133573254,0.446513326,0.352631304,0.21702394,0.378709644,0.125749752,0.279611954,0.141396756
0.297866792,0.157043759,0.50910134,0.120534084,0.425650655,0.576905023,0.373493976,0.623846033,0.284827622,0.310905962,0.490846503,0.245710113,0.404787983,0.600375528,0.279611954,0.472591665,0.498670005,0.347415637,0.175298597,0.120534084,0.284827622,0.355239138,0.133573254,0.415219319,0.323945131,0.185729933,0.352631304,0.123141918,0.250925781,0.13096542
0.355239138,0.167475095,0.548218849,0.120534084,0.44912116,0.662963542,0.381317478,0.642100871,0.308298128,0.310905962,0.506493506,0.310905962,0.43608199,0.600375528,0.331768633,0.480415167,0.529964012,0.391748813,0.125749752,0.086632243,0.313513795,0.334376467,0.151828092,0.370886142,0.29004329,0.164867261,0.326552965,0.123141918,0.227455276,0.13096542
